ASIN,Question,Answer,Votes,Date
B08SR372S7,Can we wash oily or grease clothes,Yes...,0,27-06-2022
B08SR372S7,Warranty will be covered by bosh or amazon...?,Obviously Bosch.,0,07-06-2022
B08SR372S7,"Hi , is it normal to have water droplets and white water spots inside and on the grey rubber area, when u receive this item brand new?",Yeah it is normal and nothing to worry about. During pre dispatch inspection sometimes few droplets or spot remain even after cleaning. Just clean it.,0,26-05-2022
B08SR372S7,Waj2416sin 2022 modal ?,It's 2021 model...,0,08-05-2022
B08SR372S7,Is it requires a stand?,Its optional but better to have a stand. Also try stand price in market n try to buy from market as almost 50% saving if you buy from installation guy. They can quote any rate with or without invoice.,0,17-04-2022
B08SR372S7,Which year of model is this?,I think it is 2018.,0,14-04-2022
B08SR372S7,Can we get latest model?,Sure..,0,15-04-2022
B08SR372S7,Is this machine have any mode which is only used for Drying ?,Yes there is.,0,09-07-2022
B08SR372S7,Periodical service is required?,"It almost require service everyday. Don't buy Bosch, they did not do the right enginnering. They have a problem in the way they aligned the inlet pipe and how much ever pressure is there, it will not be able to take water.",0,16-07-2022
B08JYPDFXV,I have a Bosch 7kg washing machine. Can I place this dryer on top of the washing machine.,yes you can,0,26-06-2022
B08JYPDFXV,Is it only cloth dryer? Or is it washer+ dryer?,It's only Dryer. If you have any requirements for Washer+Dryer contact us @9911468008,0,24-06-2022
B08JYPDFXV,Is it a plug and play appliance. What is inlet pipe for,Yes its plug and play. Pipe is to drain out water from the dryer,0,19-06-2022
B08JYPDFXV,Its says inbuilt heater.. is it the same as heater pump condensor? How much electricity is used in every load?,Yes it has a heat pump.,0,25-05-2022
B08JYPDFXV,Can it be wall hanged or stacked on front load washing machine?,"Don't think you can hang it on the wall... But it can be stacked for sure, on top of front loading washing machine using accessories from Bosch.",0,16-04-2022
B08JYPDFXV,is this seller (E Sales India) an authorized reseller of bosch and will bosch india honor warranty on dryer bought on Amazon?,Yes,0,19-04-2022
B08JYPDFXV,Will demo provided and how ?,Yes you can contact bosch for demo and installation,0,19-06-2022
B08JYPDFXV,"Do clothes come out 100% dry ?
does it require exhaust for moisture or does it have a box to collect moisture, can i keep it in a enclosed room?",Yes they come out 100% dry.  The machine can be kept in a room. There is a pipe that needs to be attached to the machine so that the water can be drained out from the machine,0,19-06-2022
B08JYPDFXV,Can this be placed directly on the  washing machine mountable,Yes but only bosch washing machine.,0,19-06-2022
B08JYPDFXV,Will this dryer be installed by the company?,Yes,0,19-06-2022
B08JYPDFXV,Does it require a water outlet drain,"Yes,  ideally. Alternatively, as a stop gap arrangement, you can collect water through the pipe in a small tub and throw it later",0,19-06-2022
B08JYPDFXV,Why is there an inlet pipe in the Dryer?,Its an outlet pipe,0,26-06-2022
B08JYPDFXV,Is installation included with this product?,Yes,0,19-06-2022
B08JYPDFXV,I have IFB 6.5 kg washing machine can i fix it top of the washing machine?,yes,0,09-07-2022
B08JYPDFXV,It this 5 star rated electricity rating machine,doesnt comes star rating,0,09-07-2022
B08JYPDFXV,Can it be placed over washing machine inverted/upside down ??,YES,0,16-07-2022
B08SR624PS,How many watts of mechine,0.2 kWh with 30degC program and as high as 1.9kwh with 95degC program. It varies with the temperature settings. But overall consumption is less.,0,29-05-2022
B08SR624PS,this model manufacturing year?,2021,0,26-05-2022
B08SR624PS,Is it anti Wrinkle ?,No,0,25-05-2022
B08SR624PS,"What iis the dimension, it says 59 x 59.8 x 84.8 Centimeters whereas in the image it's different ?",no almost same,0,26-05-2022
B08SR624PS,What is inverter touch,touch is bit hard,0,26-05-2022
B08SR624PS,Does it has in built heater,Yes inbuilt heater,0,24-07-2022
B08SR624PS,Is it direct drive or belt,Drive,0,24-07-2022
B08SR624PS,How can we put water  in machine when water tap is unavailable ?,Compulsory tap needed,0,24-07-2022
B08SR624PS,what is inverted touch control,Simply touch like mobile phone display,0,24-07-2022
B08SR624PS,Does it has in built heater,Yes it has in buit heater,0,28-07-2022
B08J3KFLBT,Whether hardwater compatible??,"Yes, but you have to do complete cleaning every month",0,05-07-2022
B08J3KFLBT,Can it soften hard water?,No,0,27-06-2022
B08J3KFLBT,"Manufacturing date,country of manufacture of the particular item? is the drum of ss or chromium plated? qty of water consumed in single wash?",Complete drum built by SS 304 grade and any washing machine major components from BOSCH only in front loading washing machines the best BOSCH.Made in India  only.Thanks & RegardsVenkataramana Reddy Kichilisee less,0,15-06-2022
B08J3KFLBT,which year manufacturing is this product,You will know before you place the order,0,27-06-2022
B08J3KFLBT,Does it dry the clothes?,"No, you have to do it manually. But takes just an hour to dry",0,27-06-2022
